id;start_date;end_date;language
1;2020-11-04T09:41:46;2020-11-04T07:32:01;SPANISH
2;2020-11-03T14:31:57;2020-11-04T09:36:22;SPANISH
3;2020-11-04T05:27:16;2020-11-03T16:01:25;FRENCH
4;2020-11-03T20:44:47;2020-11-04T08:16:13;FRENCH
5;2020-11-04T06:15:05;2020-11-04T11:02:04;FRENCH
6;2020-11-04T00:07:26;2020-11-04T12:15:40;FRENCH
7;2020-11-04T01:52:46;2020-11-03T19:43:37;FRENCH
8;2020-11-04T00:48:59;2020-11-04T11:05:07;SPANISH
9;2020-11-03T23:30:08;2020-11-03T20:11:31;SPANISH
10;2020-11-04T07:42:12;2020-11-03T18:16:42;SPANISH
